Epoch,NakamotoCoefficient,GiniIndex,TotalTokens,TotalVotingPower,AgentCount
286,16,0.7393,9697273.63,2871709.73,989
287,16,0.7388,9694502.43,2870725.75,990
288,16,0.7404,9670307.04,2861525.83,982
289,16,0.7404,9650553.10,2854383.00,979
290,16,0.7411,9639341.97,2850337.35,977
291,16,0.7420,9600327.49,2837446.31,973
292,16,0.7419,9588890.09,2833715.66,971
293,16,0.7356,9303925.83,2751149.51,968
294,16,0.7357,9271502.27,2741180.18,964
295,16,0.7351,9281352.68,2743066.50,966
296,16,0.7350,9220597.72,2723845.35,957
297,15,0.7343,9080849.47,2682369.51,946
298,15,0.7339,9084750.46,2683162.48,945
299,15,0.7343,9060265.03,2675313.80,940
300,15,0.7348,9043250.62,2669634.78,935
301,15,0.7362,9000822.09,2655134.97,930
302,14,0.7365,8951844.58,2639208.67,924
303,14,0.7366,8947231.19,2637329.24,920
304,14,0.7368,8940895.97,2634462.22,916
305,14,0.7384,8914207.91,2625605.93,907
306,14,0.7381,8910704.14,2624241.37,906
307,18,0.7124,8046277.62,2375592.93,904
308,18,0.7127,8026242.89,2368701.37,898
309,17,0.7110,7939675.03,2343581.53,897
310,17,0.7108,7902784.65,2332291.84,893
311,17,0.7111,7894712.72,2329798.46,888
312,17,0.7124,7869043.63,2321543.73,877
313,17,0.7122,7851119.31,2316403.40,874
314,17,0.7116,7857497.05,2317147.31,873
315,16,0.7131,7810552.70,2302546.91,861
316,16,0.7118,7734195.37,2280186.05,855
317,16,0.7135,7704115.56,2270174.53,848
318,16,0.7140,7665321.25,2257780.01,842
319,15,0.7120,7560127.48,2227047.28,838
320,15,0.7120,7555073.48,2225674.26,837
321,16,0.7014,7155084.31,2110508.42,827
322,16,0.7020,7151478.35,2108420.81,827
323,15,0.7038,7102253.05,2093160.78,820
324,15,0.7048,7072622.09,2083940.05,817
325,15,0.7050,7066068.99,2081629.30,812
326,15,0.7061,7049013.34,2075981.24,811
327,15,0.7084,7011157.93,2063468.63,804
328,15,0.7092,6992874.64,2057748.01,797
329,14,0.7038,6772299.78,1994799.10,791
330,14,0.7042,6749383.80,1987625.13,790
331,14,0.7044,6744106.57,1985239.74,784
332,14,0.7035,6707741.34,1974407.20,781
333,14,0.7031,6709214.32,1974816.09,781
334,14,0.7034,6685761.55,1966605.97,776
335,13,0.7042,6654711.41,1957781.03,770
336,13,0.7036,6660207.73,1958612.53,769
337,13,0.7031,6663212.31,1959711.61,769
338,13,0.6973,6502528.39,1912986.40,766
339,13,0.6968,6495489.50,1911209.44,766
340,13,0.6944,6417887.02,1889204.52,763
341,13,0.6961,6389232.65,1879782.38,759
